loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,open_acc,missing_amnt
3600, 36 months,8 years,MORTGAGE,52800.0,Source Verified,Fully Paid,major_purchase,TX,19.71,0,15,0
17900, 36 months,< 1 year,RENT,65000.0,Verified,Fully Paid,debt_consolidation,TX,21.32,0,13,0
18000, 60 months,4 years,RENT,36000.0,Verified,Charged Off,debt_consolidation,CT,5.43,0,13,1
8000, 36 months,1 year,RENT,42682.0,Not Verified,Fully Paid,debt_consolidation,CA,15.55,0,9,0
30000, 60 months,< 1 year,RENT,80000.0,Verified,Charged Off,debt_consolidation,OR,15.64,0,4,0
7125, 36 months,1 year,MORTGAGE,36000.0,Source Verified,Fully Paid,debt_consolidation,LA,21.0,0,15,0
6400, 36 months,1 year,RENT,31200.0,Source Verified,Fully Paid,debt_consolidation,NY,8.88,0,6,0
17400, 36 months,5 years,RENT,133000.0,Source Verified,Fully Paid,medical,NY,5.29,0,7,0
6000, 36 months,4 years,RENT,108000.0,Not Verified,Fully Paid,debt_consolidation,CA,7.26,0,10,0
16000, 60 months,10+ years,RENT,118000.0,Verified,Fully Paid,debt_consolidation,CO,3.39,0,9,0
20000, 60 months,2 years,RENT,52538.0,Source Verified,Charged Off,debt_consolidation,WA,22.43,0,12,0
14000, 36 months,5 years,MORTGAGE,187000.0,Not Verified,Fully Paid,credit_card,NC,6.2,0,11,0
35000, 60 months,6 years,MORTGAGE,122000.0,Verified,Fully Paid,credit_card,OH,21.84,0,11,0
7000, 36 months,2 years,MORTGAGE,84000.0,Not Verified,Fully Paid,debt_consolidation,CA,2.76,0,7,0
9000, 36 months,4 years,MORTGAGE,61000.0,Verified,Fully Paid,debt_consolidation,MN,12.59,0,20,0
10000, 36 months,5 years,RENT,50000.0,Not Verified,Charged Off,other,NC,7.99,1,3,0
5500, 36 months,< 1 year,RENT,30000.0,Source Verified,Fully Paid,debt_consolidation,CA,8.48,0,5,0
5000, 36 months,< 1 year,RENT,76000.0,Source Verified,Fully Paid,debt_consolidation,NM,3.68,0,6,0
11000, 36 months,10+ years,RENT,60000.0,Source Verified,Fully Paid,debt_consolidation,OH,15.28,0,6,0
22000, 60 months,10+ years,MORTGAGE,78000.0,Verified,Charged Off,debt_consolidation,WI,20.03,0,10,0
34000, 60 months,10+ years,MORTGAGE,65000.0,Verified,Fully Paid,credit_card,GA,11.39,0,9,0
15000, 36 months,10+ years,MORTGAGE,112000.0,Source Verified,Fully Paid,debt_consolidation,MI,15.9,1,13,0
12000, 60 months,10+ years,MORTGAGE,50000.0,Not Verified,Fully Paid,credit_card,IL,12.55,0,6,0
12075, 36 months,3 years,RENT,170000.0,Source Verified,Fully Paid,debt_consolidation,TX,4.15,0,5,0
6725, 36 months,8 years,RENT,70000.0,Source Verified,Fully Paid,debt_consolidation,MA,13.92,0,8,0
15000, 36 months,6 years,MORTGAGE,43000.0,Not Verified,Fully Paid,credit_card,AL,18.45,0,8,0
18000, 60 months,6 years,RENT,59000.0,Verified,Charged Off,debt_consolidation,NC,20.07,0,14,0
10000, 36 months,4 years,MORTGAGE,86000.0,Source Verified,Fully Paid,debt_consolidation,NC,10.03,0,15,0
6500, 36 months,6 years,MORTGAGE,46150.0,Source Verified,Fully Paid,other,PA,3.2,0,8,0
16000, 60 months,10+ years,MORTGAGE,96000.0,Source Verified,Fully Paid,debt_consolidation,CA,4.67,1,18,0
24400, 36 months,6 years,MORTGAGE,90000.0,Source Verified,Fully Paid,debt_consolidation,CA,2.43,0,5,0
25450, 60 months,< 1 year,RENT,57000.0,Verified,Charged Off,debt_consolidation,UT,24.4,0,7,0
12000, 36 months,< 1 year,RENT,40320.0,Verified,Fully Paid,debt_consolidation,CA,6.76,0,5,0
20000, 60 months,8 years,MORTGAGE,94000.0,Source Verified,Charged Off,small_business,PA,8.37,2,5,0
10000, 36 months,1 year,RENT,40000.0,Not Verified,Charged Off,credit_card,CA,16.53,0,4,0
6000, 36 months,2 years,RENT,60000.0,Not Verified,Fully Paid,debt_consolidation,RI,19.36,1,10,0
3000, 36 months,5 years,RENT,60000.0,Not Verified,Fully Paid,medical,AZ,11.48,0,3,0
9600, 36 months,2 years,OWN,38000.0,Not Verified,Fully Paid,credit_card,CA,3.35,0,5,0
12000, 36 months,< 1 year,MORTGAGE,50400.0,Source Verified,Fully Paid,debt_consolidation,CA,7.57,0,4,0
21000, 60 months,6 years,MORTGAGE,100000.0,Verified,Charged Off,small_business,CA,13.31,0,16,0
18000, 60 months,6 years,MORTGAGE,40000.0,Verified,Fully Paid,other,OH,13.62,0,10,0
12000, 36 months,10+ years,MORTGAGE,63150.0,Verified,Fully Paid,debt_consolidation,IL,6.69,0,6,0
10000, 36 months,6 years,RENT,54000.0,Verified,Fully Paid,major_purchase,CO,8.4,0,6,0
13000, 36 months,2 years,MORTGAGE,62000.0,Verified,Fully Paid,other,OK,9.12,0,7,0
13000, 36 months,10+ years,RENT,120000.0,Source Verified,Fully Paid,debt_consolidation,VA,3.41,0,7,0
14125, 60 months,5 years,MORTGAGE,55000.0,Verified,Fully Paid,debt_consolidation,FL,23.32,0,10,0
4200, 36 months,3 years,OWN,50000.0,Not Verified,Fully Paid,debt_consolidation,LA,6.36,0,5,0
10000, 36 months,2 years,MORTGAGE,67200.0,Source Verified,Fully Paid,car,CO,15.34,0,8,0
9500, 36 months,1 year,RENT,46000.0,Verified,Fully Paid,credit_card,NJ,8.53,1,7,0
17000, 60 months,5 years,RENT,36300.0,Not Verified,Fully Paid,debt_consolidation,CA,7.47,0,12,0
30000, 36 months,5 years,OWN,125000.0,Verified,Charged Off,major_purchase,NY,1.08,0,6,0
30000, 36 months,3 years,MORTGAGE,60000.0,Verified,Fully Paid,debt_consolidation,WV,17.8,0,13,0
5375, 36 months,6 years,MORTGAGE,54000.0,Source Verified,Fully Paid,other,CA,19.89,0,9,0
14500, 36 months,10+ years,MORTGAGE,54000.0,Verified,Fully Paid,debt_consolidation,FL,19.04,0,4,0
30000, 60 months,3 years,MORTGAGE,97500.0,Verified,Charged Off,debt_consolidation,MA,8.12,0,12,0
28000, 60 months,10+ years,RENT,100000.0,Source Verified,Fully Paid,debt_consolidation,MA,17.3,0,8,0
20000, 60 months,10+ years,MORTGAGE,68232.0,Verified,Fully Paid,home_improvement,TX,10.96,0,26,1
5000, 36 months,5 years,OWN,15000.0,Not Verified,Fully Paid,debt_consolidation,KS,15.44,0,16,0
15000, 36 months,< 1 year,RENT,90000.0,Source Verified,Fully Paid,debt_consolidation,NY,18.23,0,15,0
13000, 36 months,1 year,RENT,37000.0,Source Verified,Fully Paid,debt_consolidation,FL,23.71,0,10,0
28000, 36 months,3 years,MORTGAGE,300000.0,Verified,Fully Paid,home_improvement,NV,5.59,0,15,0
7200, 36 months,3 years,RENT,30000.0,Verified,Fully Paid,debt_consolidation,NY,21.16,0,26,1
5225, 36 months,1 year,MORTGAGE,55000.0,Verified,Fully Paid,credit_card,FL,23.08,0,9,0
16000, 60 months,4 years,MORTGAGE,180000.0,Source Verified,Fully Paid,other,CA,12.84,0,18,0
5000, 36 months,4 years,RENT,90000.0,Not Verified,Fully Paid,debt_consolidation,CA,10.67,5,3,0
25000, 36 months,10+ years,MORTGAGE,90000.0,Verified,Charged Off,debt_consolidation,VA,20.69,0,13,0
20000, 36 months,6 years,MORTGAGE,78000.0,Verified,Fully Paid,credit_card,CA,10.52,0,4,0
10000, 36 months,10+ years,MORTGAGE,79200.0,Source Verified,Fully Paid,debt_consolidation,FL,11.32,0,7,0
14000, 36 months,3 years,RENT,30000.0,Source Verified,Fully Paid,debt_consolidation,MN,19.88,0,8,0
12000, 60 months,4 years,RENT,48000.0,Not Verified,Fully Paid,credit_card,NJ,11.65,0,4,0
4600, 36 months,10+ years,MORTGAGE,30000.0,Source Verified,Fully Paid,credit_card,AZ,16.52,0,9,0
7000, 36 months,10+ years,MORTGAGE,75000.0,Source Verified,Fully Paid,debt_consolidation,VA,12.61,0,13,0
12000, 36 months,10+ years,MORTGAGE,65000.0,Source Verified,Fully Paid,debt_consolidation,FL,14.1,0,9,0
20000, 60 months,3 years,RENT,110000.0,Verified,Charged Off,debt_consolidation,CA,22.21,0,12,0
35000, 60 months,10+ years,MORTGAGE,200000.0,Verified,Charged Off,other,SC,5.36,0,4,0
20000, 60 months,3 years,MORTGAGE,70000.0,Verified,Fully Paid,debt_consolidation,KY,6.87,0,9,0
18225, 60 months,4 years,RENT,33000.0,Verified,Fully Paid,debt_consolidation,CA,15.38,3,7,0
6500, 36 months,< 1 year,RENT,115000.0,Verified,Fully Paid,wedding,CA,10.49,0,15,0
20000, 60 months,5 years,MORTGAGE,106000.0,Source Verified,Fully Paid,home_improvement,WI,9.03,0,10,0
25000, 60 months,4 years,OWN,38400.0,Verified,Fully Paid,credit_card,GA,22.47,0,17,0
8500, 36 months,5 years,RENT,42000.0,Not Verified,Fully Paid,debt_consolidation,MD,16.26,0,8,0
4000, 60 months,3 years,MORTGAGE,75000.0,Not Verified,Fully Paid,car,VA,11.34,0,6,0
12000, 36 months,< 1 year,RENT,64000.0,Source Verified,Fully Paid,debt_consolidation,VA,9.98,0,3,0
6400, 36 months,< 1 year,MORTGAGE,51000.0,Not Verified,Fully Paid,debt_consolidation,IL,12.87,0,3,1
35000, 60 months,10+ years,MORTGAGE,100904.0,Verified,Fully Paid,debt_consolidation,VA,19.88,0,10,0
16000, 36 months,2 years,RENT,35000.0,Verified,Fully Paid,debt_consolidation,PA,17.31,0,7,0
11000, 36 months,3 years,RENT,125000.0,Source Verified,Fully Paid,debt_consolidation,NY,7.85,1,15,0
3200, 36 months,5 years,RENT,65000.0,Verified,Fully Paid,debt_consolidation,OR,17.79,0,9,0
3300, 36 months,1 year,RENT,75000.0,Source Verified,Fully Paid,wedding,AL,16.08,0,10,0
9400, 36 months,7 years,MORTGAGE,98280.0,Not Verified,Fully Paid,credit_card,CO,6.19,0,7,0
4000, 36 months,6 years,MORTGAGE,103000.0,Not Verified,Fully Paid,car,PA,17.32,1,11,0
25000, 60 months,6 years,MORTGAGE,45000.0,Verified,Charged Off,debt_consolidation,AZ,15.92,0,11,0
12000, 60 months,2 years,RENT,62000.0,Not Verified,Charged Off,debt_consolidation,MD,12.29,0,11,0
10000, 36 months,10+ years,OWN,70000.0,Verified,Fully Paid,home_improvement,OH,7.78,0,5,0
12000, 36 months,10+ years,MORTGAGE,80000.0,Verified,Fully Paid,debt_consolidation,OK,10.95,0,14,0
18000, 36 months,6 years,OWN,42000.0,Verified,Fully Paid,debt_consolidation,GA,4.69,0,5,0
15000, 60 months,2 years,RENT,40000.0,Verified,Fully Paid,debt_consolidation,NC,7.53,0,2,0
14075, 36 months,8 years,MORTGAGE,57468.0,Source Verified,Fully Paid,debt_consolidation,SC,22.53,0,12,0
14125, 60 months,5 years,RENT,35000.0,Source Verified,Charged Off,debt_consolidation,VA,16.49,1,14,0
4800, 60 months,< 1 year,OWN,26000.0,Source Verified,Fully Paid,debt_consolidation,WV,9.83,0,14,0
17175, 60 months,4 years,MORTGAGE,48000.0,Source Verified,Fully Paid,house,VA,10.75,0,7,0
8000, 36 months,4 years,MORTGAGE,33600.0,Verified,Fully Paid,home_improvement,CA,4.11,0,7,1
7125, 36 months,< 1 year,MORTGAGE,22800.0,Source Verified,Charged Off,debt_consolidation,SC,20.05,1,16,0
6500, 36 months,2 years,MORTGAGE,56650.0,Not Verified,Fully Paid,debt_consolidation,MA,0.0,0,2,0
19000, 60 months,< 1 year,MORTGAGE,100000.0,Source Verified,Fully Paid,debt_consolidation,IL,9.53,0,16,0
21000, 60 months,3 years,MORTGAGE,90000.0,Verified,Fully Paid,small_business,CA,7.04,0,10,0
12000, 60 months,< 1 year,MORTGAGE,72000.0,Source Verified,Fully Paid,other,TX,12.0,0,13,0
2850, 36 months,10+ years,MORTGAGE,87120.0,Source Verified,Fully Paid,credit_card,MD,21.43,0,18,0
13000, 60 months,4 years,RENT,39624.0,Not Verified,Fully Paid,debt_consolidation,WA,18.08,0,5,0
8000, 36 months,3 years,RENT,37000.0,Source Verified,Fully Paid,debt_consolidation,TX,15.11,0,6,0
1500, 36 months,< 1 year,RENT,18000.0,Not Verified,Fully Paid,vacation,CA,9.93,0,2,0
30000, 36 months,2 years,MORTGAGE,70000.0,Verified,Fully Paid,debt_consolidation,MN,19.21,0,14,0
9475, 36 months,< 1 year,MORTGAGE,62000.0,Verified,Fully Paid,debt_consolidation,WI,28.26,0,7,0
9975, 60 months,5 years,RENT,82400.0,Source Verified,Fully Paid,car,LA,15.83,0,26,0
3000, 36 months,4 years,MORTGAGE,50400.0,Not Verified,Fully Paid,home_improvement,NY,9.93,3,10,0
20900, 36 months,2 years,RENT,82000.0,Verified,Fully Paid,credit_card,MD,9.62,0,7,0
30000, 60 months,3 years,MORTGAGE,130000.0,Verified,Fully Paid,debt_consolidation,GA,16.56,0,15,0
8000, 36 months,2 years,RENT,50000.0,Not Verified,Fully Paid,credit_card,CA,16.03,0,5,0
6000, 36 months,1 year,OWN,24000.0,Not Verified,Fully Paid,wedding,TX,5.75,0,6,0
2600, 36 months,10+ years,RENT,74029.56,Source Verified,Fully Paid,major_purchase,IL,5.27,0,6,0
11500, 36 months,5 years,MORTGAGE,29000.0,Not Verified,Fully Paid,debt_consolidation,TX,21.93,0,8,0
5000, 36 months,5 years,OWN,50000.0,Verified,Fully Paid,major_purchase,MO,10.97,0,11,0
6500, 36 months,3 years,MORTGAGE,95000.0,Not Verified,Fully Paid,other,TX,13.28,2,15,0
14000, 60 months,10+ years,OWN,118354.61,Source Verified,Fully Paid,debt_consolidation,FL,18.85,0,8,0
24000, 36 months,2 years,MORTGAGE,95000.0,Verified,Fully Paid,home_improvement,MI,15.23,0,19,0
12150, 60 months,5 years,RENT,38000.0,Verified,Charged Off,debt_consolidation,VA,20.31,0,9,0
5800, 36 months,10+ years,MORTGAGE,72000.0,Not Verified,Fully Paid,debt_consolidation,CO,11.75,0,8,0
12000, 60 months,2 years,MORTGAGE,100000.0,Verified,Fully Paid,other,VA,9.3,0,12,0
6000, 60 months,7 years,MORTGAGE,54000.0,Source Verified,Fully Paid,car,CT,2.62,0,6,0
12000, 60 months,6 years,MORTGAGE,50000.0,Verified,Fully Paid,home_improvement,NC,18.65,0,13,0
5000, 36 months,5 years,MORTGAGE,42082.0,Verified,Charged Off,debt_consolidation,FL,18.31,0,12,0
23000, 60 months,1 year,MORTGAGE,69500.0,Verified,Fully Paid,debt_consolidation,CO,14.45,0,9,0
2600, 36 months,1 year,RENT,15000.0,Verified,Fully Paid,debt_consolidation,MN,7.12,0,6,1
3000, 36 months,10+ years,MORTGAGE,55000.0,Not Verified,Fully Paid,home_improvement,OH,14.07,0,10,0
10375, 36 months,6 years,MORTGAGE,79000.0,Verified,Fully Paid,debt_consolidation,VA,15.28,0,9,0
7200, 36 months,7 years,MORTGAGE,82008.0,Not Verified,Fully Paid,major_purchase,NY,17.52,0,8,0
17725, 60 months,10+ years,MORTGAGE,57000.0,Verified,Fully Paid,debt_consolidation,TX,28.25,0,18,0
15350, 60 months,10+ years,MORTGAGE,48000.0,Verified,Fully Paid,debt_consolidation,WI,25.93,0,10,0
4200, 36 months,9 years,MORTGAGE,72000.0,Not Verified,Fully Paid,home_improvement,OK,13.0,0,6,0
4200, 36 months,6 years,RENT,69000.0,Not Verified,Fully Paid,car,PA,11.08,0,10,0
10000, 36 months,7 years,RENT,60629.92,Not Verified,Fully Paid,debt_consolidation,NY,15.34,0,10,0
5000, 36 months,2 years,MORTGAGE,72000.0,Not Verified,Fully Paid,major_purchase,FL,10.58,0,8,0
14125, 36 months,2 years,OWN,30000.0,Verified,Fully Paid,debt_consolidation,GA,21.24,0,9,1
20000, 60 months,10+ years,OWN,62000.0,Verified,Fully Paid,debt_consolidation,VA,17.79,0,5,0
9000, 60 months,2 years,RENT,48000.0,Source Verified,Charged Off,small_business,FL,0.33,0,4,0
10000, 36 months,4 years,RENT,85000.0,Not Verified,Fully Paid,debt_consolidation,NY,21.05,0,17,0
10000, 36 months,10+ years,OWN,180000.0,Verified,Fully Paid,debt_consolidation,OH,14.75,0,11,0
5400, 36 months,10+ years,MORTGAGE,38000.0,Verified,Fully Paid,other,TX,29.03,0,22,0
9000, 36 months,6 years,MORTGAGE,100000.0,Source Verified,Fully Paid,credit_card,OH,3.22,0,11,0
4800, 60 months,1 year,RENT,66000.0,Source Verified,Charged Off,car,AR,5.73,0,8,0
24000, 36 months,9 years,MORTGAGE,134500.0,Verified,Fully Paid,debt_consolidation,NC,10.46,0,15,0
17600, 60 months,3 years,MORTGAGE,40000.0,Verified,Fully Paid,debt_consolidation,NY,15.57,0,10,0
12000, 36 months,8 years,MORTGAGE,77000.0,Verified,Fully Paid,credit_card,CA,19.56,0,18,0
4925, 36 months,9 years,OWN,46000.0,Not Verified,Fully Paid,debt_consolidation,WV,10.33,0,5,0
7200, 36 months,< 1 year,RENT,31700.0,Source Verified,Charged Off,car,FL,2.01,0,3,0
30000, 36 months,10+ years,MORTGAGE,81840.0,Verified,Fully Paid,debt_consolidation,CA,16.35,0,22,0
15000, 60 months,1 year,RENT,72000.0,Source Verified,Fully Paid,wedding,VA,1.17,0,5,0
20000, 36 months,3 years,RENT,101000.0,Verified,Fully Paid,credit_card,VA,7.27,0,10,0
8000, 36 months,7 years,RENT,21000.0,Verified,Charged Off,debt_consolidation,NY,13.2,1,4,0
18000, 36 months,6 years,MORTGAGE,70000.0,Source Verified,Fully Paid,debt_consolidation,CA,2.95,0,10,0
6400, 36 months,3 years,MORTGAGE,37000.0,Not Verified,Fully Paid,home_improvement,NC,13.2,0,11,0
9600, 36 months,4 years,MORTGAGE,54000.0,Not Verified,Fully Paid,debt_consolidation,OH,2.78,0,7,0
7000, 36 months,10+ years,MORTGAGE,80000.0,Not Verified,Fully Paid,home_improvement,MO,13.39,0,8,0
7000, 36 months,1 year,RENT,90000.0,Source Verified,Fully Paid,other,CA,7.63,1,4,0
9600, 36 months,10+ years,RENT,59000.0,Not Verified,Fully Paid,wedding,CA,13.0,0,6,0
10000, 36 months,2 years,MORTGAGE,50000.0,Not Verified,Fully Paid,home_improvement,MI,1.82,0,17,0
18000, 36 months,7 years,MORTGAGE,140000.0,Source Verified,Fully Paid,credit_card,CA,8.17,0,7,0
8400, 36 months,10+ years,MORTGAGE,72000.0,Not Verified,Fully Paid,debt_consolidation,CA,12.32,0,13,0
33600, 60 months,5 years,RENT,111396.0,Verified,Fully Paid,debt_consolidation,CA,17.6,0,12,0
7200, 36 months,2 years,MORTGAGE,105000.0,Not Verified,Fully Paid,debt_consolidation,TX,5.28,1,10,0
4550, 60 months,< 1 year,RENT,30000.0,Source Verified,Fully Paid,moving,MD,5.56,0,10,0
18750, 60 months,10+ years,OWN,37500.0,Verified,Fully Paid,debt_consolidation,GA,20.26,0,5,0
5600, 36 months,10+ years,MORTGAGE,192000.0,Verified,Fully Paid,home_improvement,CA,10.34,0,10,0
4200, 36 months,4 years,RENT,55000.0,Not Verified,Fully Paid,credit_card,NC,21.38,0,4,0
12600, 36 months,10+ years,OWN,38000.0,Verified,Charged Off,home_improvement,AR,23.73,0,10,0
4800, 36 months,10+ years,MORTGAGE,54000.0,Source Verified,Fully Paid,debt_consolidation,UT,17.98,1,9,0
3000, 36 months,< 1 year,MORTGAGE,96000.0,Source Verified,Fully Paid,car,PA,0.19,1,4,0
22000, 36 months,5 years,MORTGAGE,100800.0,Verified,Fully Paid,debt_consolidation,FL,18.6,0,12,0
20000, 60 months,10+ years,RENT,71000.0,Verified,Fully Paid,debt_consolidation,CA,14.97,0,8,0
4750, 36 months,10+ years,MORTGAGE,30000.0,Source Verified,Fully Paid,other,MN,13.96,1,5,1
7500, 36 months,2 years,RENT,66000.0,Source Verified,Fully Paid,credit_card,IL,5.71,0,7,0
15000, 60 months,< 1 year,RENT,65000.0,Verified,Fully Paid,debt_consolidation,VA,15.49,1,8,0
30000, 60 months,10+ years,MORTGAGE,94325.0,Source Verified,Fully Paid,debt_consolidation,NJ,8.52,0,7,0
9000, 36 months,8 years,MORTGAGE,75500.0,Verified,Fully Paid,debt_consolidation,NH,22.47,0,13,0
35000, 36 months,2 years,MORTGAGE,156000.0,Verified,Fully Paid,debt_consolidation,CT,10.99,0,13,0
26000, 60 months,10+ years,RENT,50000.0,Verified,Charged Off,debt_consolidation,WI,14.5,0,12,0
6400, 36 months,4 years,MORTGAGE,95000.0,Not Verified,Fully Paid,debt_consolidation,MA,12.2,0,9,0
10800, 36 months,6 years,RENT,48000.0,Source Verified,Fully Paid,debt_consolidation,SC,17.27,0,10,0
3000, 36 months,2 years,RENT,74500.0,Not Verified,Fully Paid,debt_consolidation,FL,15.27,0,11,0
4500, 60 months,1 year,RENT,37200.0,Source Verified,Fully Paid,car,FL,18.16,1,15,0
15000, 36 months,10+ years,MORTGAGE,65000.0,Verified,Fully Paid,debt_consolidation,TX,7.92,0,6,0
12600, 60 months,3 years,RENT,55000.0,Source Verified,Fully Paid,credit_card,CA,17.74,0,11,0
25000, 60 months,9 years,MORTGAGE,150000.0,Verified,Fully Paid,home_improvement,KY,14.27,0,10,0
10200, 36 months,10+ years,MORTGAGE,130000.0,Verified,Fully Paid,credit_card,NJ,21.04,0,10,0
20000, 36 months,< 1 year,RENT,74000.0,Verified,Fully Paid,debt_consolidation,MN,15.55,0,6,0
7000, 36 months,2 years,MORTGAGE,90000.0,Not Verified,Fully Paid,debt_consolidation,MA,5.25,1,4,0
20000, 36 months,9 years,MORTGAGE,107496.0,Verified,Fully Paid,debt_consolidation,UT,16.01,0,11,0
17000, 60 months,4 years,RENT,175000.0,Source Verified,Fully Paid,small_business,NY,2.48,0,8,0
5000, 60 months,10+ years,MORTGAGE,79200.0,Verified,Fully Paid,car,NC,22.53,0,13,0
21000, 36 months,1 year,RENT,93000.0,Verified,Fully Paid,debt_consolidation,CA,27.47,0,13,0
12000, 36 months,10+ years,MORTGAGE,61000.0,Not Verified,Fully Paid,debt_consolidation,GA,13.44,0,8,0
24000, 60 months,8 years,RENT,228000.0,Source Verified,Fully Paid,major_purchase,WA,9.13,0,18,0
5400, 36 months,1 year,RENT,54000.0,Source Verified,Fully Paid,debt_consolidation,TX,15.62,0,8,0
9400, 60 months,< 1 year,MORTGAGE,62000.0,Source Verified,Fully Paid,debt_consolidation,NY,24.15,0,13,0
15125, 60 months,8 years,RENT,55000.0,Not Verified,Fully Paid,debt_consolidation,CA,19.7,0,8,0
12000, 36 months,3 years,RENT,140000.0,Verified,Fully Paid,debt_consolidation,TX,10.16,0,5,0
12000, 60 months,8 years,RENT,30000.0,Verified,Fully Paid,house,NJ,8.8,0,7,0
10000, 36 months,6 years,MORTGAGE,55000.0,Source Verified,Fully Paid,debt_consolidation,TX,20.33,0,11,0
30000, 60 months,7 years,MORTGAGE,190000.0,Verified,Charged Off,home_improvement,CA,8.05,0,9,0
6500, 36 months,10+ years,MORTGAGE,38492.0,Source Verified,Fully Paid,other,VA,18.21,0,9,0
8000, 36 months,2 years,MORTGAGE,30000.0,Not Verified,Fully Paid,home_improvement,KS,21.6,0,8,0
3600, 36 months,< 1 year,RENT,54000.0,Source Verified,Fully Paid,moving,VA,10.73,0,20,0
7100, 60 months,< 1 year,RENT,80000.0,Source Verified,Charged Off,debt_consolidation,NY,8.68,0,15,0
2400, 36 months,6 years,RENT,15000.0,Source Verified,Fully Paid,moving,AZ,2.0,0,3,0
10950, 60 months,6 years,MORTGAGE,21888.0,Verified,Charged Off,other,CO,6.52,0,2,1
4000, 36 months,6 years,MORTGAGE,80000.0,Not Verified,Charged Off,car,PA,6.48,0,9,0
12600, 60 months,10+ years,RENT,64590.0,Verified,Fully Paid,other,NY,18.04,0,9,0
12000, 60 months,2 years,MORTGAGE,60000.0,Source Verified,Fully Paid,other,SC,13.74,0,6,0
35000, 60 months,3 years,MORTGAGE,136000.0,Verified,Fully Paid,home_improvement,CA,2.56,0,6,0
25000, 60 months,8 years,RENT,48000.0,Verified,Fully Paid,credit_card,RI,13.13,0,4,0
5200, 36 months,3 years,MORTGAGE,70000.0,Not Verified,Fully Paid,debt_consolidation,FL,13.34,0,11,0
8500, 36 months,3 years,OWN,25000.0,Not Verified,Fully Paid,other,GA,9.07,0,6,1
12000, 60 months,4 years,MORTGAGE,64000.0,Verified,Charged Off,debt_consolidation,CA,23.78,0,8,0
13000, 60 months,< 1 year,RENT,47000.0,Source Verified,Fully Paid,debt_consolidation,CA,16.19,0,7,0
1800, 36 months,9 years,RENT,50400.0,Not Verified,Charged Off,wedding,CA,2.64,0,3,1
10000, 36 months,10+ years,MORTGAGE,60000.0,Verified,Fully Paid,debt_consolidation,NC,6.46,2,9,0
12475, 36 months,10+ years,MORTGAGE,88000.0,Not Verified,Fully Paid,home_improvement,MI,10.04,0,11,0
3200, 36 months,4 years,MORTGAGE,44000.0,Not Verified,Fully Paid,debt_consolidation,UT,7.8,0,7,0
5500, 36 months,10+ years,RENT,40000.0,Not Verified,Fully Paid,other,OR,20.49,1,11,0
14675, 60 months,1 year,RENT,38500.0,Verified,Charged Off,debt_consolidation,CT,22.66,0,7,0
2100, 36 months,1 year,RENT,8000.0,Verified,Fully Paid,vacation,NY,7.5,0,4,1
3825, 36 months,3 years,RENT,28500.0,Not Verified,Charged Off,debt_consolidation,IL,23.54,0,6,0
23200, 60 months,10+ years,MORTGAGE,85000.0,Verified,Charged Off,debt_consolidation,TX,7.89,0,10,0
5000, 36 months,5 years,RENT,100000.0,Not Verified,Fully Paid,debt_consolidation,CA,2.4,0,8,0
12000, 36 months,3 years,MORTGAGE,45600.0,Source Verified,Fully Paid,debt_consolidation,FL,19.13,0,6,0
